pregunta,respuesta,keywords
"Me darán vestuario, uniforme o cómo debo ir vestido?","Al continuar en la operación recibirás polera y credencial. Mientras tanto, ven con ropa oscura y calzado cerrado.",darán vestuario uniforme vestido
Como obtener mi cooler?,"Puedes usar uno propio sin logos de otras apps o solicitar el cooler de Zubale con descuento a tu wallet, avisando al coordinador en sala.",obtener cooler
Donde se adquiere la hielera / mochila / cooler / bolsa - hielera?,Puedes usar uno propio o solicitar el cooler de Zubale a través del coordinador en sala; el costo se descuenta de tu wallet.,adquiere hielera mochila cooler bolsa hielera
Tengo que tener la cooler el día de mi activación?,"Sí. Si te activas como Picker, Shopper o Driver, es necesario contar con una cooler para manejar pedidos que incluyan productos refrigerados y así mantener la cadena de frío.
Si ya tienes una de uso personal, puedes utilizarla siempre que no tenga logos de otras apps. Si no cuentas con una, podrás coordinarlo directamente con el coordinador en sala, quien te indicará cómo obtenerla y el descuento se realiza desde tu wallet.",tener cooler activación
El día de mi capacitación me presentó con o sin cooler?,"Puedes presentarte sin cooler a la capacitación. Durante ese espacio te explicarán su uso y, si al finalizar deseas quedarte realizando tareas, podrás coordinar con el coordinador en tienda para contar con una y comenzar a operar.",capacitación presentó cooler
"Hola buenos días, ya realicé todo el proceso de la app, pero tengo duda con el cooler donde se solicita o bien si yo tengo algunas porque anteriormente estaba en otra app puedo utilizar esas?","Puedes usar un cooler propio siempre que no tenga logos de otras apps. Si no tienes, puedes solicitar el de Zubale con descuento a tu wallet.",buenos realicé proceso app cooler solicita algunas porque
Y para el cooler?,Debes contar con uno. Puede ser propio (sin logos) o solicitar el de Zubale con descuento a tu wallet.,cooler
La vestimenta es obligatoria de color negro..??,"*Idealmente sí:* debe ser negra o muy oscura. Usa pantalón de mezclilla o de vestir, polera/camisa sin estampados y zapatos cerrados (ojalá negros). No se debe usar ropa rota ni rasgada.",vestimenta obligatoria color negro
Quien me va a prestar el cooler?,"El coordinador de Zubale en tienda es quien te orientará sobre el cooler.
Si ya tienes uno propio, puedes usarlo (siempre que no tenga logos de otras apps).
Si no cuentas con uno, el coordinador te indicará cómo obtener el cooler de Zubale, cuyo valor se descuenta directamente desde tu wallet.",quien prestar cooler
"No tengo mochila, es necesario tener una ?","Sí. En todos los proyectos es necesario contar con cooler/mochila térmica para transportar productos refrigerados y mantener la cadena de frío.

Si ya tienes una, puedes usarla si no tiene logos de otras apps.

Si no cuentas con una, el coordinador en tienda te indicará cómo obtener el cooler de Zubale, y su valor se descuenta desde tu wallet.",mochila necesario tener
El cooler se usa aún si es carro?,Sí. El cooler es necesario para mantener la cadena de frío en pedidos con productos refrigerados.,cooler usa carro
¿Como es el pago de mis prestaciones de servicio?,"En Zubale las ganancias se generan por cada pedido que realizas. No hay sueldo fijo ni pago por hora.
El pago varía según el cliente, la tienda, el rol y el proyecto, y se compone de:

1. Monto base por pedido
2. Variables según rol:
Shopper: productos recolectados + kilómetros
Driver/Repartidor: kilómetros 
Picker: productos recolectados 
3. Bonos o recompensas (si aplican, según condiciones)",pago mis prestaciones servicio
¿Donde recibo el pago de mi prestacion de servicio?,Tus ganancias se cargan directamente en la wallet de la app de Zubale. Desde ahí puedes retirar el dinero y transferirlo a tu cuenta bancaria registrada.,recibo pago prestacion servicio
¿Cada cuanto se realizan los pagos?,"Los pagos son semanales y dependen del cliente: Walmart paga los miércoles; Cencosud y nuevos clientes, los martes.",cuanto realizan pagos
"Buenas tardes, una pregunta la capacitacion es pagada?",La capacitación no tiene un pago fijo adicional. Durante la capacitación realizas tareas reales y esas tareas sí se pagan bajo el mismo sistema de tarifas. Las ganancias se cargan a tu wallet en la app.,capacitacion pagada
Buenos días tengo una duda con respecto aal pago de este mes me pueden ayudar?,"Claro 😊 Puedes solicitar ayuda desde la app en Perfil → Centro de ayuda → Iniciar conversación, o desde zubalero.com/cl usando el ícono azul de chat. El equipo de Soporte Finanzas revisará tu caso.",buenos respecto aal pago mes pueden ayudar
Como es la frecuencia de pago?,La frecuencia de pago es semanal. El dinero se carga en tu wallet de la app y luego puedes retirarlo a tu cuenta bancaria.,frecuencia pago
Como es él pago?,"En Zubale las ganancias se generan por cada pedido que realizas. No hay sueldo fijo ni pago por hora.

El pago varía según el cliente, la tienda y el rol, y se compone de:
1. Monto base por pedido
2. Variables según rol:
- Shopper: productos recolectados + kilómetros
- Driver/Repartidor: kilómetros 
- Picker: productos recolectados 
3. Bonos o recompensas (si aplican, según condiciones)",pago
¿Cómo saber el precio de una orden? Y ¿qué pasa los días que no pueda tomar un pedidos?,"Cada sala tiene una infografía de tarifas donde se explica cómo se paga cada pedido. Si hay baja demanda, puedes acceder al Bundle de Conectividad siempre que cumplas las condiciones de tu cita.",precio orden pasa pueda tomar pedidos
Cómo y cuando es el pago que recibo?,El pago es semanal y se deposita en la wallet de la app de Zubale. Desde ahí puedes transferir tus ganancias a tu cuenta bancaria.,pago recibo
Cuanto ganare por mes?,"Tus ganancias mensuales dependen de cuántas tareas realices, tu tiempo de conexión y la demanda. No hay un monto fijo. Como referencia, los promedios varían según rol y desempeño.
• Shopper: ~$1.600.000 CLP mensuales
• Driver: ~$1.400.000 CLP mensuales
• Picker: ~$600.000 CLP mensuales",cuanto ganare mes
Cuánto me quitan de impuestos de la boleta de honorario?,"Zubale emite automáticamente tu boleta de honorarios y aplica la retención correspondiente del SII (15,25% para 2026). El detalle se envía en la cartola semanal por correo.",cuánto quitan impuestos boleta honorario
Cuánto pagan a quienes entregan mercancía?,"Las ganancias varían según el cliente, la distancia, el tamaño del pedido y la zona. Todo se explica en la capacitación mediante la infografía de tarifas.",cuánto pagan quienes entregan mercancía
Cuánto pagan por cada entrega?,"El pago por entrega depende del monto base, los productos del pedido, los kilómetros recorridos y los bonos que apliquen.",cuánto pagan entrega
Cuánto se gana por día?,"Depende de cuántos pedidos realices, el tipo de tareas y la demanda del día. No hay un monto diario fijo.",cuánto gana
Cuánto se paga por tarea?,"El pago por tarea varía según el cliente, el tipo de pedido, los productos, los kilómetros y la zona donde estés activo.",cuánto paga tarea
De qué depende el pago por tarea?,"Depende del tipo de tarea, el monto base del pedido, los productos recolectados, la distancia recorrida y los bonos disponibles.",depende pago tarea
información de pagos etc?,"El pago es variable y se explica en detalle durante la capacitación. Además, cada semana recibes una cartola con el desglose completo de tus ganancias.",información pagos etc
"EL PAGO, COMO ES?","El pago es semanal y se calcula por las tareas realizadas la semana anterior. Cuantos más pedidos completes, mayores serán tus ganancias.",pago
El pago es diario o semanal?,El pago es semanal. No se realizan pagos diarios.,pago diario semanal
Existe alguna ayuda para la gasolina o gastos del auto?,No. Zubale no cubre gasolina ni gastos del vehículo. Las ganancias se generan por pedido y cada persona gestiona sus costos.,existe ayuda gasolina gastos auto
"Hola , una pregunta cuánto es el mínimo por semana?","No existe un ingreso mínimo garantizado. 
Sin embargo, en días de baja demanda Zubale cuenta con el Bundle de Conectividad, que funciona como un piso diario si cumples todas las condiciones de tu cita: reserva previa, conexión completa, toma de pedidos y check-in / check-out.",cuánto mínimo semana
Y como sería el esquema de pago?,Es un esquema variable por pedido: monto base + productos + kilómetros + bonos. El pago se procesa semanalmente vía app.,esquema pago
Y si por alguna razón no puedo completar las horas?,Se paga solo por las tareas realizadas. En ese caso no se accede a recompensas ni al Bundle asociado a esa cita.,razón completar horas
Y apoyan con gasolina? Sueldo base?,No hay sueldo base ni apoyo para gasolina. Las ganancias dependen de tu actividad y desempeño.,apoyan gasolina sueldo base
"Hola, cuentan con bonos para incrementar aún más mis ganancias?","Sí. Existen bonos y recompensas que dependen del cliente, la tienda y el cumplimiento de condiciones como el Bundle de Conectividad.",cuentan bonos incrementar mis ganancias
La capacitación es pagada?,No hay pago fijo por capacitarse. Las tareas que realices durante la capacitación sí se pagan y se cargan a tu wallet.,capacitación pagada
Lo pagan en efectivo?,No. Todos los pagos se realizan exclusivamente a través de la app de Zubale.,pagan efectivo
Los montos informados son brutos o liquidos?,Los montos informados son brutos. La retención se aplica automáticamente y se detalla en la cartola semanal.,montos informados brutos liquidos
Los pagos los retiro diario?,"Tus ganancias se cargan en la wallet de la app de Zubale.
Desde ahí puedes retirar a tu cuenta bancaria registrada.
El monto mínimo de retiro es $3.000 CLP.
Tienes 1 retiro gratuito base al mes y más retiros según tu Nivel de Zubalero; retiros adicionales tienen un cargo de $870 CLP.",pagos retiro diario
Los pagos son a través de la app?,Sí. Todo el proceso de pago y retiro se gestiona desde la app de Zubale.,pagos través app
Los pagos son menos impuestos?,Sí. La retención de impuestos se aplica automáticamente y se refleja en tu cartola de pagos semanal.,pagos menos impuestos
Los pagos son por entrega ...o me equivoco ?,Correcto. Los pagos se generan por cada tarea o pedido completado.,pagos entrega equivoco
Quien me paga?,Zubale te paga directamente por tus prestaciones de servicio.,quien paga
Quien me pagara por la actividad?,"Zubale, a través de la app, de forma semanal.",quien pagara actividad
Se deposita en mi cuenta?,Primero se carga en la wallet de la app y luego puedes transferirlo a tu cuenta bancaria.,deposita cuenta
Se paga en efectivo o es a través de la app?,El pago es exclusivamente a través de la app de Zubale.,paga efectivo través app
Cómo se paga la compra del súper,Todos los pedidos ya están pagados por los clientes. No cobras dinero ni llevas efectivo.,paga compra súper
los pagos son diarios,No. Los pagos son semanales.,pagos diarios
¿Con que perfil puedo prestar servicio y que hace cada uno de ellos?,"Puedes registrarte como: Picker (arma pedidos en tienda), Shopper (arma el pedido y lo entrega), o Driver/Repartidor (retira pedidos ya armados y los entrega). Podrás elegir tu perfil ideal durante el proceso de registro en el app Zubale.",perfil prestar servicio hace ellos
Cuál es la vacante?,"Depende de tu perfil y zona. En general tenemos Picker, Shopper y Driver/Repartidor. Durante tu registro en la app verás cuál está disponible para ti.",vacante
Cualquier modelo de autos. Aceptan ?,"Se aceptan autos hasta 20 años de antigüedad, en buen estado, sedán o hatchback y de 4 puertas. No se aceptan pickups ni taxis rotulados.",cualquier modelo autos aceptan
Disculpa puede ser cualquier modelo de carro?,"Sí, mientras cumpla: hasta 20 años, 4 puertas, buen estado, y no sea pickup ni taxi rotulado.",cualquier modelo carro
Disculpe cuales son los requisitos del automóvil ?,"Auto hasta 20 años, 4 puertas, sedán o hatchback, buen estado. Y con documentos al día (permiso/seguro según corresponda). No pickup ni taxi rotulado.",cuales requisitos automóvil
Dónde me registro?,"Te registras en la app de Zubale.
Puedes registrarte tanto desde iPhone como desde Android, descargando la app desde App Store o Google Play, y siguiendo el paso a paso para crear tu cuenta y subir tus datos/documentos.

📱 Importante: para prestar servicios y realizar tareas, es necesario contar con un teléfono Android, ya que las apps de los clientes donde se realizan las tareas solo funcionan en ese sistema operativo.

Para ver el proceso completo de registro, mira este video:
👉 https://youtube.com/shorts/mmg_mAaaM4s",registro
"Estoy registrado en la pagina , ya pude ingresar, una vez que ingrese que mas tengo que hacer?",Perfecto. El siguiente paso es completar tu registro en la app de Zubale (datos + documentos). Luego eliges tu tienda durante el registro y agendas 1 espacio para tu capacitación presencial en Reservas.,estoy registrado pagina pude ingresar vez ingrese mas
Hola buenos días me podrías dar información acerca de como empieza uno a generar?,"Empiezas así: 1) Regístrate en la app y sube documentos. 2) Agenda 1 espacio para tu capacitación presencial. 3) En la capacitación haces tareas reales y, al terminar, ya puedes reservar más espacios para seguir realizando tareas.",buenos podrías dar información acerca empieza generar
"Ya descargue la app, y ahora que sigue?","Ahora completa tu registro (datos y documentos). Al final, agenda tu capacitación presencial en Reservas (recuerda: solo 1 espacio para tu primera vez).",descargue app ahora sigue
"Hola voy retrasado a mi capacitación, no se si hay algún problema??","Idealmente llega puntual. Si vas atrasado, acércate igual y consulta con el coordinador si aún alcanzas a ingresar. Si no, puedes reagendar tu reserva desde la app.",voy retrasado capacitación problema
Ya nada más para saber con quién me dirijo el día de mañana a la capacitación?,"Te presentas en la sala de la tienda donde agendaste tu espacio. La noche anterior suele llegar un recordatorio con el contacto del coordinador. Si no te llega, pídeme que te transfiera con un agente.",nada quién dirijo mañana capacitación
Y ahí me dicen quien me capacitara ?,"Sí. La noche anterior a tu cita de capacitación recibirás un mensaje con el nombre y contacto del coordinador de Zubale en la sala. El día de tu capacitación, preséntate en la tienda y sala donde reservaste tu espacio y podrás contactarlo al llegar para que te guíe.

Recuerda hacer check-in en la app al llegar.

Para entender cómo agendar tu espacio para la capacitación presencial, mira este video:
👉  https://youtu.be/OEnCFsdeJ-I",dicen quien capacitara
La capacitación que duración tiene?,"Dura aprox. 2 a 3 horas, según la tienda y el proyecto.",capacitación duración
Sería asistir un solo día a capacitación?,Sí. La capacitación presencial es una sola vez. Después podrás reservar más espacios para seguir generando ganancias.,asistir capacitación
Es decir...no contaría con seguro de la empresa?,"En Zubale prestas servicios como colaborador independiente, por lo que no existe un seguro laboral como en una relación de dependencia.
Sin embargo, Zubale cuenta con coberturas para accidentes personales durante la realización de tareas, según las condiciones del proyecto. Para conocer el alcance específico, puedes consultarlo directamente con tu coordinador en sala o pedir que te transfiera con un agente para mayor detalle.",decir contaría seguro empresa
¿Cómo me registro en la app de Zubale?,1) Descarga la app y crea tu cuenta. 2) Valida tu correo y crea tu contraseña. 3) Activa permisos (especialmente ubicación). 4) Completa tus datos y sube documentos. 5) Elige tu tienda durante el registro y luego agenda tu capacitación en Reservas. Video paso a paso para registrarte: https://youtube.com/shorts/mmg_mAaaM4s,registro app zubale
¿Cómo agendo mi capacitación?,"En la app entra a Reservas, elige día y franja y agenda tu capacitación. Para tu primera vez, reserva solo 1 espacio. La capacitación será en la tienda que elegiste durante tu registro. Observa este video 👉 https://youtu.be/OEnCFsdeJ-I",agendo capacitación
¿Aceptan reingresos?,"Sí. Si puedes entrar a la app y ver Reservas, solo agenda tu capacitación y listo. Si no puedes avanzar, pídeme que te transfiera con un agente.",aceptan reingresos
¿Cómo agendo mis próximos espacios para realizar tareas?,"Después de completar tu capacitación, vuelve a Reservas y agenda los espacios que prefieras según disponibilidad. Puedes reservar en la sala/tienda de tu preferencia dentro del proyecto.",agendo mis próximos espacios realizar tareas
¿Cuánto se gana por tarea?,"Depende del cliente, tienda y rol. En general se calcula por pedido con variables como monto base + (productos en el caso de Picker/Shopper) + (kilómetros en el caso de Shopper/Driver) + bonos si aplican. En tu capacitación te entregan la infografía de tarifas.",cuánto gana tarea
¿Cuánto tardan en activarme tras registrarme?,"Puede ser rápido: completas registro y luego haces tu capacitación presencial (agendada en Reservas). Al terminarla, ya quedas listo(a) para reservar más espacios y realizar tareas.",cuánto tardan activarme tras registrarme
¿Cómo es el proceso para activarme?,"1) Completa tu registro en la app y sube documentos. Observa este video: https://youtube.com/shorts/mmg_mAaaM4s
2) En Reservas, agenda 1 espacio para tu capacitación presencial (en la tienda que elegiste al registrarte). 3) Asiste, haz check-in y realiza tareas reales durante la capacitación. 4) Al finalizar, ya puedes reservar más espacios para seguir realizando tareas. Video para agendar capacitación: https://youtu.be/OEnCFsdeJ-I",proceso activarme
¿Cómo me contacto con soporte?,"✅ Si cuentas con acceso al app:
1. Abre la app de Zubale
2. Ve a tu perfil y selecciona Centro de ayuda
3. Haz clic en “Iniciar conversación”
4. Escribe: “Hola, quiero cambiar mi número de celular”
4. Comparte el nuevo número que deseas registrar

❌ Si no puedes ingresar al app:
Entra a 👉  https://www.zubalero.com/cl/soporte/",contacto soporte
¿Cómo retiro mis ganancias?,En la app: Mi dinero → ver saldo → Realizar transacción → Retiro de fondos. Mínimo por retiro $3.000 CLP. Tienes 1 retiro gratis al mes (puede aumentar según tu nivel/rol) y retiros extra tienen costo de $870 CLP por transacción.,retiro mis ganancias
¿Dónde entrego mis documentos?,Los subes directamente en la app durante el registro.,entrego mis documentos
¿Puedo registrarme si alguno de mis documentos esta vencido?,"Idealmente deben estar vigentes. Si algún documento está vencido, puede aparecer un bloqueo. En ese caso, pídeme que te transfiera con un agente para revisar cómo regularizarlo.",registrarme alguno mis documentos vencido
¿Puedo registrarme si mi documento es temporal o de extranjería?,"Sí puedes. Aveces puede generar bloqueo por validación. Si te pasa, pídeme que te transfiera con un agente para ayudarte.",registrarme documento temporal extranjería
¿Qué documentos necesito para iniciar mi registro en la app de Zubale?,"Documento de identidad vigente y código postal. Si vas como Shopper/Driver: licencia vigente, SOAP y permiso de circulación al día.",documentos necesito iniciar registro app zubale
¿Dónde veo el precio de un pedido antes de aceptarlo?,El sistema de tarifas se explica en la capacitación y se refleja en tu cartola semanal con el detalle de cada pedido realizado.,veo precio pedido aceptarlo
¿Puedo cambiar mi número de celular?,"Sí, puedes cambiar el número de celular asociado a tu cuenta.
La forma de hacerlo depende de si aún tienes acceso a tu número anterior:

✅ Si todavía tienes acceso a tu número anterior y puedes entrar a la app:
1. Abre la app de Zubale
2. Ve a tu perfil y selecciona Centro de ayuda
3. Haz clic en “Iniciar conversación”
4. Escribe: “Hola, quiero cambiar mi número de celular”
4. Comparte el nuevo número que deseas registrar

❌ Si ya no tienes acceso al número anterior o no puedes ingresar a la app:
Entra a 👉 https://www.zubalero.com/cl/soporte/

💬 Nuestro equipo te ayudará a hacer el cambio lo antes posible.",cambiar número celular
Mi cuenta apareció bloqueada. ¿Por qué me bloquearon?,"Lamentamos que tu cuenta aparezca bloqueada.
No tenemos visibilidad directa del motivo, pero podemos ayudarte a resolverlo.

🔹 Por favor, contacta a nuestro equipo de soporte a través del sitio web:
Entra a 👉  https://www.zubalero.com/cl/soporte/

💬 Uno de nuestros agentes te asistirá para resolverlo lo antes posible.",cuenta apareció bloqueada bloquearon
Me quiero reactivar con otro número pero la app no me deja.,"Si deseas reactivarte con otro número y la app no te lo permite, no te preocupes. Podemos ayudarte.

🔹 Como no puedes ingresar a la app, por favor contáctanos por soporte web:
Entra a 👉 https://www.zubalero.com/cl/soporte/

💬 Nuestro equipo te ayudará a hacer el cambio lo antes posible.",reactivar número app deja
No deja agregar un número de teléfono,"Si la app no te permite agregar tu número de teléfono, podemos ayudarte a solucionarlo.

🔹 Por favor, contáctanos a través del soporte web:
Ingresa a 👉  https://www.zubalero.com/cl/soporte/

💬 Uno de nuestros agentes te asistirá para resolverlo lo antes posible.",deja agregar número teléfono
¿Cómo puedo empezar en Zubale?,"Para comenzar en Zubale, descarga la app y completa tu registro paso a paso. Durante el proceso deberás crear tu cuenta, subir tus datos y documentos, y elegir el perfil con el que deseas prestar servicios.
👉 Para ver cómo hacerlo, revisa este video corto:
https://youtube.com/shorts/mmg_mAaaM4s",empezar zubale
¿Cómo agendo mi capacitación presencial?,"Una vez que completes tu registro en la app, se habilita el apartado Reservas. Desde ahí puedes elegir la tienda, la fecha y la franja disponible para tu capacitación presencial (recuerda agendar solo 1 espacio).
La noche anterior a tu cita recibirás el contacto del coordinador en tienda.
👉 Para saber como reservar tu espacio para la capacitación presencial, mira este video:
https://youtu.be/OEnCFsdeJ-I",agendo capacitación presencial
No me toma el codigo postal,"Por favor, ingrésalo en el siguiente formato XXX-XXXX",toma codigo postal
¿Cómo instalar la app?,Puedes descargar la app desde el siguiente link: https://play.google.com/store/apps/details?id=mx.com.topup&hl=pt_BR&gl=US,instalar app
